feature,2018/8/22,pc: rename ipcctl_pre_down_nolock(),-8,8,,message semaphore shared memory other,v4.x
feature,2018/8/22,pc/util.c: use ipc_rcu_putref() for failues in ipc_addid(),-4,12,,message semaphore shared memory other,v4.x
feature,2018/8/22,pc: reorganize initialization of kern_ipc_perm.seq,-43,48,,other,v4.x
feature,2018/8/22,pc: compute kern_ipc_perm.id under the ipc lock,-15,41,,message semaphore shared memory,v4.x
maintenance,2018/8/15,Merge git://git.kernel.org/pub/scm/linux/kernel/git/davem/net-next,0,4,,message semaphore shared memory other,v4.x
reliability robust,2018/8/13,Merge branch 'work.open3' of ?,-24,21,,shared memory,v4.x
reliability annotation,2018/8/5,Merge ra.kernel.org:/pub/scm/linux/kernel/git/davem/net,0,12,,shared memory,v4.x
performance access optimization,2018/8/2,pc/shm.c add ->pagesize function to shm_vm_ops,0,12,,shared memory,v4.x
performance store optimization,2018/8/2,Merge ra.kernel.org:/pub/scm/linux/kernel/git/davem/net,-1,1,,semaphore,v4.x
maintenance,2018/7/26,pc/sem.c: prevent queue.status tearing in semop,-1,1,,semaphore,v4.x
performance access optimization,2018/7/12,"do_shmat(): grab shp->shm_file earlier, switch to alloc_file_clone()",-21,18,,shared memory,v4.x
performance store optimization,2018/7/12,alloc_file(): switch to passing O_... flags instead of FMODE_... mode,-4,4,,shared memory,v4.x
reliability annotation,2018/6/22,rhashtable: split rhashtable.h,0,4,,message semaphore shared memory other,v4.x
reliability corruption defense,2018/6/15,pc: use new return type vm_fault_t,-1,1,,shared memory,v4.x
maintenance,2018/6/15,sysvipc/sem: mitigate semnum index against spectre v1,-4,14,,semaphore,v4.x
reliability corruption defense,2018/6/12,reewide: kvmalloc() -> kvmalloc_array(),-1,1,,semaphore,v4.x
maintenance,2018/6/4,Merge branch 'timers-2038-for-linus' of ?,-65,99,,message queue message semaphore shared memory other,v4.x
reliability corruption defense,2018/5/25,pc/shm: fix shmat() nil address after round-down when remapping,-2,10,,shared memory,v4.x
bug memory bufOverflow,2018/5/25,Revert "ipc/shm: Fix shmat mmap nil-page protection",-7,2,corruption,shared memory,v4.x
feature,2018/4/20,"y2038: ipc: Redirect ipc(SEMTIMEDOP, ...) to compat_ksys_semtimedop",-3,10,,other,v4.x
feature,2018/4/20,y2038: ipc: Enable COMPAT_32BIT_TIME,-41,44,,message queue semaphore other,v4.x
